"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"4","17","1","2","no","6","NA","8","2","30","NA","NA","NA","50","NA","l","3536","0","89","NA","NA","NA","4","500","300"
"4","6","4","2","no","6","NA","8","2","20","NA","NA","NA","40","NA","p","2676","0","89","NA","NA","NA","3","200","100"
"4","1","4","2","no","6","NA","8","2","10","NA","NA","NA","20","NA","p","7474","0","89","NA","NA","NA","3","200","100"
"4","45","1","2","no","6","NA","8","2","20","NA","NA","NA","90","NA","l","3190","0","89","NA","NA","NA","4","400","100"
"4","30","1","2","no","6","NA","8","2","10","NA","NA","NA","20","NA","l","3894","0","89","NA","NA","NA","4","300","100"
"4","20","3","2","no","6","NA","8","2","40","NA","NA","NA","80","NA","p","2901","0","89","NA","NA","NA","2","400","200"
"4","49","1","2","no","6","NA","8","2","30","NA","NA","NA","50","NA","l","2353","0","89","NA","NA","NA","4","200","100"
"4","36","4","2","no","6","NA","8","2","10","NA","NA","NA","60","NA","p","1987","0","89","NA","NA","NA","3","500","100"
"4","54","2","2","no","6","NA","8","2","30","NA","NA","NA","50","NA","l","2797","0","89","NA","NA","NA","1","300","200"
"4","23","1","2","no","6","NA","8","2","50","NA","NA","NA","100","NA","p","12813","1","89","NA","NA","NA","4","200","100"
"4","12","3","2","no","6","NA","8","2","20","NA","NA","NA","50","NA","l","9080","1","89","NA","NA","NA","2","500","200"
"4","37","4","2","no","6","NA","8","2","10","NA","NA","NA","20","NA","p","6367","0","89","NA","NA","NA","3","500","200"
"4","8","3","2","no","6","NA","8","2","20","NA","NA","NA","30","NA","l","9891","1","89","NA","NA","NA","2","300","200"
"4","73","1","2","yes","6","NA","8","2","60","NA","NA","NA","70","NA","p","3436","1","89","NA","NA","NA","4","200","400"
"4","32","3","2","no","6","NA","8","2","10","NA","NA","NA","20","NA","p","2237","0","89","NA","NA","NA","2","300","200"
"4","18","2","2","no","6","NA","8","2","40","NA","NA","NA","80","NA","p","7008","1","89","NA","NA","NA","1","200","100"
