pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 59 Hz
sampletime: 16.7004534907 ms
accuracy (in pixels): LX=748.360854008, LY=477.810409306, RX=751.165812809, RY=478.818637919
precision (RMS noise in pixels): X=23.0385053177, Y=17.7827802305
distance between participant and display: 57.0 cm
fixation threshold: 72.1350984011 pixels
speed threshold: 1.68276794963 pixels/ms
accuracy threshold: 460.983415874 pixels/ms**2
pygaze calibration report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
667.4330		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
684.0980		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
700.7630		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
717.4290		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
734.0950		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
750.7610		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
767.4260		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1541.9400	start_trial
784.0920		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
800.7580		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
817.4230		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
834.0890		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
850.7550		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
867.4200		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
884.0860		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
898.5500		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
915.2150		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
931.8810		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
948.5470		1278	646	1	1199	639	1	1239	642	3.5988	1	3.6208	1
949.8040		1289	648	1	1187	533	1	1238	590	3.6115	1	3.3934	1
967.5240		1292	641	1	1162	543	1	1227	592	3.5972	1	3.3769	1
985.1110		1218	545	1	1192	589	1	1205	567	3.4459	1	3.5061	1
1002.9090		1275	631	1	1209	637	1	1242	634	3.6073	1	3.6097	1
4367.8720	start_fixation
1020.3680		1280	623	1	1268	641	1	1274	632	3.5888	1	3.6339	1
1037.7880		1271	640	1	1212	615	1	1242	627	3.5978	1	3.5312	1
1055.2980		1220	640	1	1264	641	1	1242	640	3.6487	1	3.6191	1
1072.6600		1271	606	1	1213	644	1	1242	625	3.5416	1	3.5711	1
1090.1600		1280	617	1	1264	636	1	1272	626	3.5952	1	3.6072	1
1107.6580		1221	628	1	1201	647	1	1211	637	3.6463	1	3.5528	1
1124.1240		1196	573	1	1208	645	1	1202	609	3.4344	1	3.5658	1
1140.7940		1221	633	1	1211	640	1	1216	636	3.6147	1	3.5494	1
1157.4690		1215	620	1	1264	646	1	1240	633	3.5737	1	3.5742	1
1174.1200		1218	642	1	1220	641	1	1219	641	3.6411	1	3.5509	1
1190.7850		1261	642	1	1265	629	1	1263	635	3.6295	1	3.5432	1
1207.4460		1309	634	1	1256	625	1	1283	629	3.5935	1	3.5592	1
1224.1230		1239	627	1	1243	624	1	1241	625	3.6272	1	3.5572	1
6402.9530	start-gamble:17 
1240.7860		1247	636	1	1251	639	1	1249	637	3.6411	1	3.5642	1
1257.4490		1246	642	1	1248	633	1	1247	637	3.6545	1	3.5718	1
1274.1140		1304	619	1	1254	625	1	1279	622	3.5978	1	3.5896	1
1290.7790		1301	619	1	1306	639	1	1304	629	3.6112	1	3.5938	1
1307.4440		1301	629	1	1299	643	1	1300	636	3.6411	1	3.6031	1
1324.1090		1306	640	1	1305	633	1	1306	636	3.6354	1	3.5746	1
1340.8890		1307	640	1	1310	651	1	1309	645	3.6147	1	3.6249	1
1357.5600		1320	637	1	1318	637	1	1319	637	3.6818	1	3.6262	1
1374.2240		1306	619	1	1310	640	1	1308	629	3.6758	1	3.6213	1
1390.8850		1317	627	1	1316	636	1	1317	631	3.6481	1	3.6213	1
1407.5550		1297	638	1	1303	629	1	1300	633	3.6741	1	3.6498	1
1424.2230		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1440.8750		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1457.5360		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1474.2030		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1490.8520		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
1507.5270		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
